province,electorialDistrictNumber,district,subdistrict
ชุมพร,3,ละแม,
ชุมพร,3,สวี,เขาทะลุ
ชุมพร,3,สวี,เขาค่าย
ชุมพร,3,หลังสวน,
ตรัง,1,นาโยง,
ตรัง,1,ย่านตาขาว,นาชุมเห็ด
ตรัง,1,ย่านตาขาว,โพรงจระเข้
ตรัง,1,เมืองตรัง,
ตรัง,2,กันตัง,โคกยาง
ตรัง,2,รัษฎา,
ตรัง,2,วังวิเศษ,
ตรัง,2,สิเกา,
ตรัง,2,ห้วยยอด,
ตรัง,3,กันตัง,กันตัง
ตรัง,3,กันตัง,ควนธานี
ตรัง,3,กันตัง,บางหมาก
ตรัง,3,กันตัง,บางเป้า
ตรัง,3,กันตัง,วังวน
ตรัง,3,กันตัง,กันตังใต้
ตรัง,3,กันตัง,คลองลุ
ตรัง,3,กันตัง,ย่านซื่อ
ตรัง,3,กันตัง,บ่อน้ำร้อน
ตรัง,3,กันตัง,บางสัก
ตรัง,3,กันตัง,นาเกลือ
ตรัง,3,กันตัง,เกาะลิบง
ตรัง,3,กันตัง,คลองชีล้อม
ตรัง,3,ปะเหลียน,
ตรัง,3,ย่านตาขาว,ย่านตาขาว
ตรัง,3,ย่านตาขาว,หนองบ่อ
ตรัง,3,ย่านตาขาว,ในควน
ตรัง,3,ย่านตาขาว,ทุ่งกระบือ
ตรัง,3,ย่านตาขาว,ทุ่งค่าย
ตรัง,3,ย่านตาขาว,เกาะเปียะ
ตรัง,3,หาดสำราญ,
ตราด,1,,
ตาก,1,บ้านตาก,ตากออก
ตาก,1,บ้านตาก,สมอโคน
ตาก,1,บ้านตาก,แม่สลิด
ตาก,1,บ้านตาก,ตากตก
ตาก,1,บ้านตาก,ทุ่งกระเชาะ
ตาก,1,วังเจ้า,
ตาก,1,สามเงา,
ตาก,1,เมืองตาก,
ตาก,2,พบพระ,
ตาก,2,อุ้มผาง,
ตาก,2,แม่สอด,แม่สอด
ตาก,2,แม่สอด,แม่กุ
ตาก,2,แม่สอด,พะวอ
ตาก,2,แม่สอด,แม่ตาว
ตาก,2,แม่สอด,มหาวัน
ตาก,2,แม่สอด,ด่านแม่ละเมา
ตาก,2,แม่สอด,พระธาตุผาแดง
ตาก,3,ท่าสองยาง,
ตาก,3,บ้านตาก,ท้องฟ้า
ตาก,3,บ้านตาก,เกาะตะเภา
ตาก,3,แม่ระมาด,
ตาก,3,แม่สอด,แม่กาษา
ตาก,3,แม่สอด,ท่าสายลวด
ตาก,3,แม่สอด,แม่ปะ
นครนายก,1,,
นครปฐม,1,เมืองนครปฐม,พระปฐมเจดีย์
นครปฐม,1,เมืองนครปฐม,นครปฐม
นครปฐม,1,เมืองนครปฐม,ลำพยา
นครปฐม,1,เมืองนครปฐม,บ่อพลับ
นครปฐม,1,เมืองนครปฐม,หนองปากโลง
นครปฐม,1,เมืองนครปฐม,สนามจันทร์
นครปฐม,1,เมืองนครปฐม,ห้วยจรเข้
นครปฐม,1,เมืองนครปฐม,โพรงมะเดื่อ
นครปฐม,1,เมืองนครปฐม,หนองดินแดง
นครปฐม,1,เมืองนครปฐม,สวนป่าน
นครปฐม,1,เมืองนครปฐม,สระกะเทียม
นครปฐม,1,เมืองนครปฐม,วังตะกู
นครปฐม,1,เมืองนครปฐม,วังเย็น
นครปฐม,1,เมืองนครปฐม,พระประโทน
นครปฐม,1,เมืองนครปฐม,บางแขม
นครปฐม,2,กำแพงแสน,
นครปฐม,2,เมืองนครปฐม,บ้านยาง
นครปฐม,2,เมืองนครปฐม,ทัพหลวง
นครปฐม,2,เมืองนครปฐม,หนองงูเหลือม
นครปฐม,2,เมืองนครปฐม,ตาก้อง
นครปฐม,2,เมืองนครปฐม,ทุ่งน้อย
นครปฐม,2,เมืองนครปฐม,มาบแค
นครปฐม,3,ดอนตูม,
นครปฐม,3,บางเลน,
นครปฐม,3,พุทธมณฑล,
นครปฐม,4,นครชัยศรี,
นครปฐม,4,สามพราน,ตลาดจินดา
นครปฐม,4,สามพราน,คลองจินดา
นครปฐม,4,สามพราน,บางช้าง
นครปฐม,4,เมืองนครปฐม,ดอนยายหอม
นครปฐม,4,เมืองนครปฐม,สามควายเผือก
นครปฐม,4,เมืองนครปฐม,ธรรมศาลา
นครปฐม,4,เมืองนครปฐม,ถนนขาด
นครปฐม,5,สามพราน,ท่าข้าม
นครปฐม,5,สามพราน,ทรงคนอง
นครปฐม,5,สามพราน,หอมเกร็ด
นครปฐม,5,สามพราน,บางกระทึก
นครปฐม,5,สามพราน,บางเตย
นครปฐม,5,สามพราน,สามพราน
นครปฐม,5,สามพราน,ไร่ขิง
นครปฐม,5,สามพราน,ท่าตลาด
นครปฐม,5,สามพราน,กระทุ่มล้ม
นครปฐม,5,สามพราน,คลองใหม่
นครปฐม,5,สามพราน,ยายชา
นครปฐม,5,สามพราน,บ้านใหม่
นครปฐม,5,สามพราน,อ้อมใหญ่
นครพนม,1,นาทม,
นครพนม,1,นาหว้า,
นครพนม,1,บ้านแพง,
นครพนม,1,ศรีสงคราม,
นครพนม,2,ท่าอุเทน,
นครพนม,2,เมืองนครพนม,ในเมือง
นครพนม,2,เมืองนครพนม,ท่าค้อ
นครพนม,2,เมืองนครพนม,นาราชควาย
นครพนม,2,เมืองนครพนม,หนองญาติ
นครพนม,2,เมืองนครพนม,อาจสามารถ
นครพนม,2,โพนสวรรค์,
นครพนม,3,ธาตุพนม,
นครพนม,3,เมืองนครพนม,ขามเฒ่า
นครพนม,3,เมืองนครพนม,คำเตย
นครพนม,3,เมืองนครพนม,นาทราย
นครพนม,3,เมืองนครพนม,ดงขวาง
นครพนม,3,เมืองนครพนม,บ้านกลาง
นครพนม,3,เมืองนครพนม,โพธิ์ตาก
นครพนม,3,เรณูนคร,
นครพนม,4,นาแก,
นครพนม,4,ปลาปาก,
นครพนม,4,วังยาง,
นครพนม,4,เมืองนครพนม,กุรุคุ
นครพนม,4,เมืองนครพนม,บ้านผึ้ง
นครพนม,4,เมืองนครพนม,วังตามัว
นครราชสีมา,1,เมืองนครราชสีมา,ในเมือง
นครราชสีมา,1,เมืองนครราชสีมา,หนองจะบก
นครราชสีมา,1,เมืองนครราชสีมา,โพธิ์กลาง
นครราชสีมา,1,เมืองนครราชสีมา,หนองไผ่ล้อม
นครราชสีมา,2,เมืองนครราชสีมา,จอหอ
นครราชสีมา,2,เมืองนครราชสีมา,บ้านใหม่
นครราชสีมา,2,เมืองนครราชสีมา,หมื่นไวย
นครราชสีมา,2,เมืองนครราชสีมา,โคกสูง
นครราชสีมา,2,เมืองนครราชสีมา,พุดซา
นครราชสีมา,2,เมืองนครราชสีมา,บ้านโพธิ์
นครราชสีมา,2,เมืองนครราชสีมา,หนองกระทุ่ม
นครราชสีมา,2,เมืองนครราชสีมา,ตลาด
นครราชสีมา,2,เมืองนครราชสีมา,สีมุม
นครราชสีมา,2,เมืองนครราชสีมา,หนองไข่น้ำ
นครราชสีมา,2,เมืองนครราชสีมา,บ้านเกาะ
นครราชสีมา,2,เมืองนครราชสีมา,มะเริง
นครราชสีมา,2,เมืองนครราชสีมา,พลกรัง
นครราชสีมา,2,เมืองนครราชสีมา,โคกกรวด
นครราชสีมา,2,เมืองนครราชสีมา,สุรนารี
นครราชสีมา,2,เมืองนครราชสีมา,ปรุใหญ่
นครราชสีมา,3,ขามทะเลสอ,
นครราชสีมา,3,สีคิ้ว,สีคิ้ว
นครราชสีมา,3,สีคิ้ว,ลาดบัวขาว
นครราชสีมา,3,สีคิ้ว,หนองน้ำใส
นครราชสีมา,3,สีคิ้ว,คลองไผ่
นครราชสีมา,3,สีคิ้ว,มิตรภาพ
นครราชสีมา,3,สีคิ้ว,หนองหญ้าขาว
นครราชสีมา,3,สูงเนิน,
นครราชสีมา,4,พิมาย,สัมฤทธิ์
นครราชสีมา,4,พิมาย,ท่าหลวง
นครราชสีมา,4,พิมาย,กระเบื้องใหญ่
นครราชสีมา,4,พิมาย,ชีวาน
นครราชสีมา,4,โนนสูง,
นครราชสีมา,4,โนนไทย,กำปัง
นครราชสีมา,4,โนนไทย,ถนนโพธิ์
นครราชสีมา,4,โนนไทย,สำโรง
นครราชสีมา,4,โนนไทย,ด่านจาก
นครราชสีมา,4,โนนไทย,มะค่า
นครราชสีมา,5,บัวลาย,
นครราชสีมา,5,บัวใหญ่,
นครราชสีมา,5,บ้านเหลื่อม,
นครราชสีมา,5,สีดา,
นครราชสีมา,5,แก้งสนามนาง,
นครราชสีมา,6,คง,เทพาลัย
นครราชสีมา,6,คง,ขามสมบูรณ์
นครราชสีมา,6,คง,ตาจั่น
นครราชสีมา,6,ประทาย,
นครราชสีมา,6,ลำทะเมนชัย,
นครราชสีมา,6,เมืองยาง,
นครราชสีมา,6,โนนแดง,
นครราชสีมา,7,ชุมพวง,
นครราชสีมา,7,พิมาย,ในเมือง
