name,province,electorialDistrictNumber,fromParty
รังสรรค์ มณีรัตน์,ลำพูน,2,เพื่อไทย
รังสรรค์ วันไชยธนวงศ์,เชียงราย,4,เพื่อไทย
รังสิกร ทิมาตฤกะ,บุรีรัมย์,2,ภูมิใจไทย
รังสิมา รอดรัศมี,สมุทรสงคราม,1,ประชาธิปัตย์
รัฐกิตติ์ ผาลีพัฒน์,อุบลราชธานี,5,เพื่อไทย
รุ่งโรจน์ ทองศรี,บุรีรัมย์,8,ภูมิใจไทย
ละออง ติยะไพรัช,เชียงราย,7,เพื่อไทย
เลิศศักดิ์ พัฒนชัยกุล,เลย,1,เพื่อไทย
วชิราภรณ์ กาญจนะ,สุราษฎร์ธานี,3,ประชาธิปัตย์
วรรณวรี ตะล่อมสิน,กรุงเทพมหานคร,3,ก้าวไกล
วรศิษฎ์ เลียงประสิทธิ์,สตูล,2,ภูมิใจไทย
วรสิทธิ์ กัลป์ตินันท์,อุบลราชธานี,1,เพื่อไทย
ธรรมนัส พรหมเผ่า,พะเยา,1,เศรษฐกิจไทย
วัชรพล โตมรศักดิ์,นครราชสีมา,2,ชาติพัฒนากล้า
วัชระ ยาวอหะซัน,นราธิวาส,1,พลังประชารัฐ
วัฒนา ช่างเหลา,ขอนแก่น,2,ภูมิใจไทย
วัน อยู่บำรุง,กรุงเทพมหานคร,26,เพื่อไทย
วันชัย เจริญนนทสิทธิ์,นนทบุรี,5,เพื่อไทย
วันชัย ปริญญาศิริ,สงขลา,1,พลังประชารัฐ
วันนิวัติ สมบูรณ์,ขอนแก่น,9,เพื่อไทย
วันเพ็ญ พร้อมพัฒน์,เพชรบูรณ์,3,พลังประชารัฐ
วิทยา ทรงคำ,เชียงใหม่,4,เพื่อไทย
วิวรรธน์ นิลวัชรมณี,สุราษฎร์ธานี,2,ประชาธิปัตย์
วิวัฒน์ชัย โหตระไวศยะ,ศรีสะเกษ,3,เพื่อไทย
วิสาร เตชะธีราวัฒน์,เชียงราย,3,เพื่อไทย
วิสิทธิ์ พิทยาภรณ์,นครราชสีมา,13,ภูมิใจไทย
วิสิษฐ์ เตชะธีราวัฒน์,เชียงราย,2,เพื่อไทย
วิสุทธิ์ ไชยณรุณ,พะเยา,2,เพื่อไทย
วีระกร คำประกอบ,นครสวรรค์,2,พลังประชารัฐ
วีระพล จิตสัมฤทธิ์,ศรีสะเกษ,6,เพื่อไทย
วีระวัฒน์ โอสถานุเคราะห์,กาฬสินธุ์,2,เพื่อไทย
