Title,Name,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,Images,PartyName,companyType,countDirector,totalValueShare,countCompShare,totalPctShare
นาง,บุญยิ่ง นิติกาญจนา,true,false,false,true,แบ่งเขต,ราชบุรี,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บุญยิ่ง-นิติกาญจนา.jpg,พลังประชารัฐ,['G'],1.0,0.0,0.0,0.0
นาง,บุญรื่น ศรีธเรศ,true,false,false,true,แบ่งเขต,กาฬสินธุ์,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บุญรื่น-ศรีธเรศ.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
ดร.,บุญลือ ประเสริฐโสภา,true,false,false,true,แบ่งเขต,ราชบุรี,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บุญลือ-ประเสริฐโสภา.jpg,ภูมิใจไทย,['L'],1.0,0.0,0.0,0.0
นาย,บุญสิงห์ วรินทร์รักษ์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/บุญสิงห์-วรินทร์รักษ์.jpg,พลังประชารัฐ,[],0.0,0.0,0.0,0.0
นางสาว,เบญจา แสงจันทร์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/เบญจา-แสงจันทร์.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,ปกรณ์ มุ่งเจริญพร,true,false,false,true,แบ่งเขต,สุรินทร์,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปกรณ์-มุ่งเจริญพร.jpg,ภูมิใจไทย,[],0.0,0.0,0.0,0.0
นาย,ปกรณ์วุฒิ อุดมพิพัฒน์สกุล,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปกรณ์วุฒิ-อุดมพิพัฒน์สกุล.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,ปฐมพงศ์ สูญจันทร์,true,false,false,false,แบ่งเขต,นครปฐม,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปฐมพงศ์-สูญจันทร์.jpg,ภูมิใจไทย,['G'],0.0,16171949.0,1.0,0.7493815926925511
นาย,ปดิพัทธ์ สันติภาดา,true,false,false,true,แบ่งเขต,พิษณุโลก,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปดิพัทธ์-สันติภาดา.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,ประกอบ รัตนพันธ์,true,false,false,true,แบ่งเขต,นครศรีธรรมราช,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประกอบ-รัตนพันธ์.jpg,ประชาธิปัตย์,[],0.0,0.0,0.0,0.0
นาย,ประเดิมชัย บุญช่วยเหลือ,true,false,false,false,แบ่งเขต,กรุงเทพมหานคร,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประเดิมชัย-บุญช่วยเหลือ.jpg,ภูมิใจไทย,[],0.0,0.0,0.0,0.0
นาย,ประทวน สุทธิอำนวยเดช,true,false,false,false,แบ่งเขต,ลพบุรี,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประทวน-สุทธิอำนวยเดช.jpg,ภูมิใจไทย,[],0.0,0.0,0.0,0.0
นาย,พิบูลย์ รัชกิจประการ,true,false,false,true,แบ่งเขต,สตูล,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พิบูลย์-รัชกิจประการ.jpg,ภูมิใจไทย,"['A', 'L', 'K', 'F', 'A', 'L', 'A']",4.0,2158039263.0,3.0,30.0
นาย,พงศ์กวิน จึงรุ่งเรืองกิจ,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พงศ์กวิน-จึงรุ่งเรืองกิจ.jpg,พลังประชารัฐ,"['L', 'C', 'L', 'G', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L']",12.0,9887877.0,2.0,0.458188002856554
นาย,พนิต วิกิตเศรษฐ์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พนิต-วิกิตเศรษฐ์.jpg,ประชาธิปัตย์,['M'],0.0,9670180.0,1.0,0.448100280926167
ดร.,สาธิต ปิตุเตชะ,true,false,true,true,แบ่งเขต,ระยอง,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/สาธิต-ปิตุเตชะ.jpg,ประชาธิปัตย์,"['G', 'N', 'G', 'I', 'F']",4.0,806521.0,1.0,0.037372860347258
นาย,ประภูศักดิ์ จินตะเวช,true,false,false,true,แบ่งเขต,อุบลราชธานี,9.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประภูศักดิ์-จินตะเวช.jpg,เพื่อไทย,['F'],1.0,0.0,0.0,0.0
นาย,ประมวล พงศ์ถาวราเดช,true,false,false,true,แบ่งเขต,ประจวบคีรีขันธ์,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประมวล-พงศ์ถาวราเดช.jpg,ประชาธิปัตย์,"['G', 'G']",1.0,4342697.0,1.0,0.201233456427618
นายแพทย์,ประสงค์ บูรณ์พงศ์,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประสงค์-บูรณ์พงศ์.jpg,เสรีรวมไทย,['L'],1.0,0.0,0.0,0.0
นาย,ประสิทธิ์ มะหะหมัด,true,false,false,false,แบ่งเขต,กรุงเทพมหานคร,19.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประสิทธิ์-มะหะหมัด.jpg,รวมไทยสร้างชาติ,"['G', 'L']",0.0,510119.0,2.0,0.023638077802665
นาย,ประสิทธิ์ วุฒินันชัย,true,false,false,true,แบ่งเขต,เชียงใหม่,7.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประสิทธิ์-วุฒินันชัย.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
นาย,ประเสริฐ จันทรรวงทอง,true,false,false,true,แบ่งเขต,นครราชสีมา,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประเสริฐ-จันทรรวงทอง.jpg,เพื่อไทย,[],0.0,0.0,0.0,0.0
นาย,ประเสริฐ บุญเรือง,true,false,false,true,แบ่งเขต,กาฬสินธุ์,5.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประเสริฐ-บุญเรือง.jpg,เพื่อไทย,"['C', 'L', 'M', 'G', 'F', 'G', 'M', 'L', 'K', 'G']",10.0,0.0,0.0,0.0
นาย,ประเสริฐพงษ์ ศรนุวัตร์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ประเสริฐพงษ์-ศรนุวัตร์.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,ปริญญา ช่วยเกตุ คีรีรัตน์,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปริญญา-ช่วยเกตุ-คีรีรัตน์.jpg,ก้าวไกล,[],0.0,0.0,0.0,0.0
นาย,ปริญญา ฤกษ์หร่าย,true,false,false,true,แบ่งเขต,กำแพงเพชร,4.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปริญญา-ฤกษ์หร่าย.jpg,พลังประชารัฐ,[],0.0,0.0,0.0,0.0
นาย,ปรีดา บุญเพลิง,true,false,false,true,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปรีดา-บุญเพลิง.jpg,ครูไทยเพื่อประชาชน,"['P', 'G', 'G']",3.0,0.0,0.0,0.0
นาย,ปัญญา จีนาคำ,true,false,false,true,แบ่งเขต,แม่ฮ่องสอน,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปัญญา-จีนาคำ.jpg,พลังประชารัฐ,[],0.0,0.0,0.0,0.0
นาย,พรเทพ วิสุทธิ์วัฒนศักดิ์,true,false,false,true,แบ่งเขต,ประจวบคีรีขันธ์,2.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/พรเทพ-วิสุทธิ์วัฒนศักดิ์.jpg,เพื่อไทย,"['B', 'C', 'C', 'C', 'H']",1.0,28538428.0,4.0,1.322423947019725
นางสาว,ปารีณา ไกรคุปต์,true,false,false,false,แบ่งเขต,ราชบุรี,3.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปารีณา-ไกรคุปต์.jpg,พลังประชารัฐ,"['A', 'A']",0.0,3035584.0,2.0,0.140663983832253
ดร.,ปิยบุตร แสงกนกกุล,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปิยบุตร-แสงกนกกุล.jpg,อนาคตใหม่,[],0.0,0.0,0.0,0.0
นาย,ปิยวัฒน พันธ์สายเชื้อ,true,false,false,true,แบ่งเขต,ยโสธร,1.0,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปิยวัฒน-พันธ์สายเชื้อ.jpg,เพื่อไทย,['G'],1.0,0.0,0.0,0.0
นางสาว,ปิยะรัฐชย์ ติยะไพรัช,true,false,false,false,บัญชีรายชื่อ,,,https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/ปิยะรัฐชย์-ติยะไพรัช.jpg,เพื่อไทย,"['M', 'G', 'A', 'L']",2.0,5773698.0,2.0,0.267543695751563
