,CandidateId,Title,FirstName,LastName,PartyName,PartyNumber,CandidateNo,Votable,ProvinceName,ProvinceCode,ZoneNumber,Age,Occupation,HighestEducation,Image,ImageSrc
701,651bf70b04d49b9c05a1afd254682379,นาย,บุญฤทธิ์,  พาณิชย์รุ่งเรือง,รวมไทยสร้างชาติ,229,7,True,ขอนแก่น,40,1,46,นักการเมืองท้องถิ่น,ปริญญาตรี,images/รวมไทยสร้างชาติ/บุญฤทธิ์-พาณิชย์รุ่งเรือง.jpg,/yourcandidates/candidates/รวมไทยสร้างชาติ/บุญฤทธิ์-พาณิชย์รุ่งเรือง.webp
702,39c3201ede31a37070061b0c6a2c3f70,นาย,พงศ์พิชา,  ศรีสุริยชาญชัย,รวมแผ่นดิน,186,8,True,ขอนแก่น,40,1,43,ค้าขาย,ปริญญาตรี,images/รวมแผ่นดิน/พงศ์พิชา-ศรีสุริยชาญชัย.jpg,/yourcandidates/candidates/รวมแผ่นดิน/พงศ์พิชา-ศรีสุริยชาญชัย.webp
703,9a547bc78a4bb2953e82574d786b3c83,นาย,สยมพร,  วรรณูปถัมภ์,ไทยสร้างไทย,227,9,True,ขอนแก่น,40,1,29,อดีตสมาชิกสภาเทศบาลนครขอนแก่น,ปริญญาตรี,images/ไทยสร้างไทย/สยมพร-วรรณูปถัมภ์.jpg,/yourcandidates/candidates/ไทยสร้างไทย/สยมพร-วรรณูปถัมภ์.webp
704,408ebf85b48dec9eb2ecf913ad4913b9,นาย,โตบูรพา,  สิมมาทัน,เสรีรวมไทย,145,10,True,ขอนแก่น,40,1,51,ธุรกิจอิสระ,ปริญญาตรี,images/เสรีรวมไทย/โตบูรพา-สิมมาทัน.jpg,/yourcandidates/candidates/เสรีรวมไทย/โตบูรพา-สิมมาทัน.webp
705,097437c49b5ddae68c1ad90dd77ae684,ร้อยตำรวจเอก,อดิเรก,  ทักษะวรบุตร,ไทยชนะ,237,11,True,ขอนแก่น,40,1,62,รับราชการตำรวจ,ปริญญาตรี,images/ไทยชนะ/อดิเรก-ทักษะวรบุตร.jpg,/yourcandidates/candidates/ไทยชนะ/อดิเรก-ทักษะวรบุตร.webp
706,0df6de01e28cf561ace86feaac55cdb5,นาย,วิทวัส,  เรืองศิริวัฒนกุล,เพื่อชาติไทย,185,12,True,ขอนแก่น,40,1,64,ข้าราชการครูเกษียณอายุ,ปริญญาโท,images/เพื่อชาติไทย/วิทวัส-เรืองศิริวัฒนกุล.jpg,/yourcandidates/candidates/เพื่อชาติไทย/วิทวัส-เรืองศิริวัฒนกุล.webp
707,78778770f9be471c6769e2f4a54189e9,นาย,กมล,  กิจกสิวัฒน์,ไทยภักดี,234,13,True,ขอนแก่น,40,1,68,ทนายความ,ปริญญาตรี,images/ไทยภักดี/กมล-กิจกสิวัฒน์.jpg,/yourcandidates/candidates/ไทยภักดี/กมล-กิจกสิวัฒน์.webp
708,4d623ecf0aafc8d8dcd077ae9a3ac051,ดาบตำรวจ,บุญเหลือ,  แก่งสันเทียะ,ประชาธิปไตยใหม่,109,14,True,ขอนแก่น,40,1,68,ข้าราชการตำรวจบำนาญ,ต่ำกว่าปริญญาตรี,images/ประชาธิปไตยใหม่/บุญเหลือ-แก่งสันเทียะ.jpg,/yourcandidates/candidates/ประชาธิปไตยใหม่/บุญเหลือ-แก่งสันเทียะ.webp
709,a8e0cb5884ea8907e8ed0e199b39fc26,นาย,หนูดี,  นามาก,ทางเลือกใหม่,170,15,True,ขอนแก่น,40,1,47,พนักงานบริษัท,ต่ำกว่าปริญญาตรี,images/ทางเลือกใหม่/หนูดี-นามาก.jpg,/yourcandidates/candidates/ทางเลือกใหม่/หนูดี-นามาก.webp
710,54054766b9c1d74d996e7b80fd695b69,นาย,ภู่วิเศษ,  บุญนิรันดร์,คลองไทย,189,16,True,ขอนแก่น,40,1,58,นักธุรกิจอิสระ ทนายความ,ปริญญาโท,images/คลองไทย/ภู่วิเศษ-บุญนิรันดร์.jpg,/yourcandidates/candidates/คลองไทย/ภู่วิเศษ-บุญนิรันดร์.webp
711,262c361aefa74417780bf7c1d07d67cb,ว่าที่พันตรี,สุดใจ,  จันทะบุรม,ประชาไทย,205,17,True,ขอนแก่น,40,1,58,ที่ปรึกษาธุรกิจ SME,ปริญญาโท,images/ประชาไทย/สุดใจ-จันทะบุรม.jpg,/yourcandidates/candidates/ประชาไทย/สุดใจ-จันทะบุรม.webp
712,f45624cf2caeb2d896dd7d2711cf0686,นาย,อิทธิพล,  ชลธราศิริ,ก้าวไกล,164,1,True,ขอนแก่น,40,2,28,ธุรกิจส่วนตัว,ปริญญาตรี,images/ก้าวไกล/อิทธิพล-ชลธราศิริ.jpg,/yourcandidates/candidates/ก้าวไกล/อิทธิพล-ชลธราศิริ.webp
713,d726fb7b67fbc255978b76782397bc70,นาย,พัฒนา,  นุศรีอัน,พลังประชารัฐ,192,2,True,ขอนแก่น,40,2,61,ข้าราชการบำนาญ,ปริญญาเอก,images/พลังประชารัฐ/พัฒนา-นุศรีอัน.jpg,/yourcandidates/candidates/พลังประชารัฐ/พัฒนา-นุศรีอัน.webp
714,eec5ec8f2d7fb0c1b30ef7f44c6a86c4,นาย,สุพจน์,  ทองเนื้อขาว,เพื่อชาติไทย,185,3,True,ขอนแก่น,40,2,61,ตัวแทนประกันภัย,ปริญญาเอก,images/เพื่อชาติไทย/สุพจน์-ทองเนื้อขาว.jpg,/yourcandidates/candidates/เพื่อชาติไทย/สุพจน์-ทองเนื้อขาว.webp
715,be908504b4a6ed92536706ee18226337,นาย,ภพธร,  แก้วขัน,รวมไทยสร้างชาติ,229,4,True,ขอนแก่น,40,2,61,ทนายความ,ปริญญาเอก,images/รวมไทยสร้างชาติ/ภพธร-แก้วขัน.jpg,/yourcandidates/candidates/รวมไทยสร้างชาติ/ภพธร-แก้วขัน.webp
716,bd654292b6b1df4975b4567c119b1714,นาย,วัฒนา,  ช่างเหลา,ภูมิใจไทย,63,5,True,ขอนแก่น,40,2,42,ผู้ดำรงตำแหน่งทางการเมือง,ปริญญาโท,images/ภูมิใจไทย/วัฒนา-ช่างเหลา.jpg,/yourcandidates/candidates/ภูมิใจไทย/วัฒนา-ช่างเหลา.webp
717,3714ba07a94ccdb5eafa5730419eac67,นาย,สมบุญ,  ยะมุลณี,ประชาไทย,205,6,True,ขอนแก่น,40,2,56,ข้าราชการบำนาญ,ปริญญาตรี,images/ประชาไทย/สมบุญ-ยะมุลณี.jpg,/yourcandidates/candidates/ประชาไทย/สมบุญ-ยะมุลณี.webp
