จังหวัด,อำเภอ,ตำบล,เขตเลือกตั้ง,index,เทศบาล,เขตเลือกตั้ง
กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,24,กรุงเทพมหานครราษฎร์บูรณะบางปะกอก,,24
กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,25,กรุงเทพมหานครราษฎร์บูรณะราษฎร์บูรณะ,,25
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,20,กรุงเทพมหานครลาดกระบังขุมทอง,,20
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,20,กรุงเทพมหานครลาดกระบังคลองสองต้นนุ่น,,20
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,20,กรุงเทพมหานครลาดกระบังคลองสามประเวศ,,20
กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,20,กรุงเทพมหานครลาดกระบังทับยาว,,20
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,20,กรุงเทพมหานครลาดกระบังลาดกระบัง,,20
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,18,กรุงเทพมหานครลาดกระบังลำปลาทิว,,18
กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,12,กรุงเทพมหานครลาดพร้าวจรเข้บัว,,12
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,13,กรุงเทพมหานครลาดพร้าวลาดพร้าว,,13
กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,14,กรุงเทพมหานครวังทองหลางคลองเจ้าคุณสิงห์,,14
กรุงเทพมหานคร,วังทองหลาง,พลับพลา,5,กรุงเทพมหานครวังทองหลางพลับพลา,,5
กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,5,กรุงเทพมหานครวังทองหลางวังทองหลาง,,5
กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,5,กรุงเทพมหานครวังทองหลางสะพานสอง,,5
กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,4,กรุงเทพมหานครวัฒนาคลองตันเหนือ,,4
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,4,กรุงเทพมหานครวัฒนาคลองเตยเหนือ,,4
กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,4,กรุงเทพมหานครวัฒนาพระโขนงเหนือ,,4
กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,22,กรุงเทพมหานครสวนหลวงพัฒนาการ,,22
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,22,กรุงเทพมหานครสวนหลวงสวนหลวง,,22
กรุงเทพมหานคร,สวนหลวง,อ่อนนุช,22,กรุงเทพมหานครสวนหลวงอ่อนนุช,,22
กรุงเทพมหานคร,สะพานสูง,ทับช้าง,21,กรุงเทพมหานครสะพานสูงทับช้าง,,21
กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา,19,กรุงเทพมหานครสะพานสูงราษฎร์พัฒนา,,19
กรุงเทพมหานคร,สะพานสูง,สะพานสูง,19,กรุงเทพมหานครสะพานสูงสะพานสูง,,19
