number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
20,นางสาวธัญนิตย์ ชื่นดวง,นางสาว,ธัญนิตย์ ชื่นดวง,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
21,นางสาวสุริยา สาโรวาท,นางสาว,สุริยา สาโรวาท,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
22,นายคณพล ตุ้ยสุวรรณ,นาย,คณพล ตุ้ยสุวรรณ,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
23,นายฐิฏิกรณ์ จำนงค์วิทย์,นาย,ฐิฏิกรณ์ จำนงค์วิทย์,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
24,นายวรพงษ์ ตั้งพิมลจิตต์,นาย,วรพงษ์ ตั้งพิมลจิตต์,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
25,นางปวริสรา วุฒิปรีดี,นาง,ปวริสรา วุฒิปรีดี,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
26,นายอนุรักษ์ ปวงคำ,นาย,อนุรักษ์ ปวงคำ,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
27,นางสาวมุกดามาศ ผิวผ่อง,นางสาว,มุกดามาศ ผิวผ่อง,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
28,นายวาทุสิทธิ์ สืบสุนทร,นาย,วาทุสิทธิ์ สืบสุนทร,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
29,นางสาวเวทิดา ชูนิธินนท์,นางสาว,เวทิดา ชูนิธินนท์,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
30,นางจามมุนินท์ มิกราช,นาง,จามมุนินท์ มิกราช,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
31,นางรัตนมาลี ทุ่งพรวญ,นาง,รัตนมาลี ทุ่งพรวญ,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
32,นายชานชนะ อินทรเสนา,นาย,ชานชนะ อินทรเสนา,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
33,นายประสิทธิ์ แสงมณี,นาย,ประสิทธิ์ แสงมณี,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
34,นายชิตวัตน์ ยอดแก้ว,นาย,ชิตวัตน์ ยอดแก้ว,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
35,นางสาวทิฆัมพร ศรียงยศ,นางสาว,ทิฆัมพร ศรียงยศ,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
36,นายวัชรินทร์ วิชิตยุทธภูมิ,นาย,วัชรินทร์ วิชิตยุทธภูมิ,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
37,นางศุภกร บริสุทธิ์,นาง,ศุภกร บริสุทธิ์,ไทยชนะ,บัญชีรายชื่อ,,,female,,,
38,นายสุเทพ สุดถนอม,นาย,สุเทพ สุดถนอม,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
39,นายชิษณุ อัมพะเศวต,นาย,ชิษณุ อัมพะเศวต,ไทยชนะ,บัญชีรายชื่อ,,,male,,,
1,นายวรรณรัตน์ ชาญนุกูล,นาย,วรรณรัตน์ ชาญนุกูล,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
2,นายอรรถวิชช์ สุวรรณภักดี,นาย,อรรถวิชช์ สุวรรณภักดี,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
3,นายอรัญ พันชุมจินดา,นาย,อรัญ พันชุมจินดา,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
4,นายวรวุฒิ อุ่นใจ,นาย,วรวุฒิ อุ่นใจ,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
5,นางสาวเยาวภา บุรพลชัย,นางสาว,เยาวภา บุรพลชัย,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,female,,,
6,นางสาวอัครวรรณ เจริญผล,นางสาว,อัครวรรณ เจริญผล,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,female,,,
7,นายอดุลย์ เลาหพล,นาย,อดุลย์ เลาหพล,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
8,นายเอราวัณ ทับพลี,นาย,เอราวัณ ทับพลี,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
9,นายยุทธนา วิริยะกิตติ,นาย,ยุทธนา วิริยะกิตติ,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
10,นางบุษรา เสนะวีณิน,นาง,บุษรา เสนะวีณิน,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,female,,,
11,นายพรชัย มาระเนตร์,นาย,พรชัย มาระเนตร์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
12,นายสุเมธ ศรีพงษ์,นาย,สุเมธ ศรีพงษ์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
65,ว่าที่ร้อยตรีเนติพล สกุลชาห์,ว่าที่ร้อยตรี,เนติพล สกุลชาห์,ก้าวไกล,บัญชีรายชื่อ,,,male,,,
14,นายปรีชญา ฉ่ำมณี,นาย,ปรีชญา ฉ่ำมณี,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
15,นายนนทรัฐ ขจีกุล,นาย,นนทรัฐ ขจีกุล,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
16,นายสมศักดิ์ แจ่มฟ้า,นาย,สมศักดิ์ แจ่มฟ้า,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
17,นายวรนัยน์ วาณิชกะ,นาย,วรนัยน์ วาณิชกะ,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
18,นายณคร อุทัยกัณฑ์,นาย,ณคร อุทัยกัณฑ์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
19,นายวิโรจน์ วงศ์เมฆ,นาย,วิโรจน์ วงศ์เมฆ,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
